environment,population,topology,sanctioning,rep,r,gini,compliance_rate,n_agents
triage,mixed,fully_connected,on,rep6,,0.3733333333333333,0.44333333333333336,20
triage,mixed,fully_connected,on,rep7,,0.3793333333333333,0.4633333333333333,20
triage,mixed,fully_connected,on,rep8,,0.2766666666666666,0.48,20
triage,mixed,clustered,off,rep1,-0.13574041637079176,0.30312499999999987,0.53,20
triage,mixed,clustered,off,rep2,0.3422676731285717,0.33333333333333326,0.49333333333333335,20
triage,mixed,clustered,off,rep3,0.03157363663978786,0.2789223897264097,0.5333333333333333,20
triage,mixed,clustered,off,rep4,0.34043832215596537,0.29466666666666663,0.49666666666666665,20
triage,mixed,clustered,off,rep5,0.6510903816837623,0.275625,0.5,20
triage,mixed,clustered,off,rep6,0.2524840281264713,0.274,0.5,20
triage,mixed,clustered,off,rep7,0.6600958586811863,0.2522964509394572,0.5266666666666666,20
triage,mixed,clustered,off,rep8,0.30316165745289564,0.2942896935933148,0.51,20
triage,mixed,clustered,on,rep1,0.3261157632686673,0.3236694677871148,0.52,20
triage,mixed,clustered,on,rep2,0.38863436203323204,0.30893416927899686,0.48,20
triage,mixed,clustered,on,rep3,0.259720324723602,0.25769230769230766,0.5266666666666666,20
triage,mixed,clustered,on,rep4,0.2812193476196576,0.30000000000000004,0.55,20
triage,mixed,clustered,on,rep5,0.3395761871269995,0.32799999999999985,0.54,20
triage,mixed,clustered,on,rep6,0.6419658280871983,0.32200000000000006,0.52,20
triage,mixed,clustered,on,rep7,0.5576502367116283,0.2991638795986622,0.5233333333333333,20
triage,mixed,clustered,on,rep8,0.16820685341247202,0.21799999999999997,0.47,20
triage,mixed,scale_free,off,rep1,0.6284552860293648,0.3454999999999999,0.55,20
triage,mixed,scale_free,off,rep2,0.5098851570654466,0.22458333333333336,0.4766666666666667,20
triage,mixed,scale_free,off,rep3,0.6712028993147184,0.3427777777777776,0.5266666666666666,20
triage,mixed,scale_free,off,rep4,0.7344127286511016,0.4222222222222223,0.4666666666666667,20
triage,mixed,scale_free,off,rep5,0.8230748607131039,0.3799999999999999,0.52,20
triage,mixed,scale_free,off,rep6,0.8953430693797239,0.4640909090909091,0.4,20
triage,mixed,scale_free,off,rep7,0.5665220284185174,0.4065384615384615,0.4266666666666667,20
triage,mixed,scale_free,off,rep8,0.7717797344051234,0.4159090909090908,0.47,20
triage,mixed,scale_free,on,rep1,0.6092664699759012,0.34560810810810816,0.5,20
triage,mixed,scale_free,on,rep2,0.37051543953330895,0.39214046822742477,0.43333333333333335,20
triage,mixed,scale_free,on,rep3,0.6995995368035974,0.403501400560224,0.46,20
triage,mixed,scale_free,on,rep4,0.8794374734306682,0.4570469798657717,0.42333333333333334,20
triage,mixed,scale_free,on,rep5,0.7229439656714043,0.39888888888888885,0.47333333333333333,20
triage,mixed,scale_free,on,rep6,0.6859771863461929,0.3931334622823983,0.5366666666666666,20
triage,mixed,scale_free,on,rep7,0.4708356946781844,0.3343434343434344,0.4666666666666667,20
triage,mixed,scale_free,on,rep8,0.6622338400388809,0.41100000000000003,0.4866666666666667,20
